scenario_id,user_input,dimension_values,expected_behavior,risk_if_fail,set_type,combination_id,dim_corpus_coverage,dim_input_quality,dim_task_type,dim_language,corpus_anchor,target_failure_mode,style,nguon_cau
SC-01,"trace là gì vậy ạ, em thấy slide nhắc suốt mà vẫn chưa rõ nó khác transcript chỗ nào",corpus=available | input=clear | task=explain_concept | lang=vi_en_mix,Trả lời trực tiếp định nghĩa trace; đúng 1 source = D1 §Logging Traces; quote NGUYÊN VĂN khớp exact-string; phân biệt được trace với transcript; 3 followup khác nhau và đều trả lời được bằng corpus.,"Nếu quote không nguyên văn hoặc sai section ở ngay ô dễ nhất, mọi pass rate ở các ô khó hơn đều không đáng tin.",representative,CB-01,available,clear,explain_concept,vi_en_mix,D1 §Logging Traces,E1 · E6,"hỏi lịch sự, có nêu chỗ vướng",P-01a
SC-12,"cái con số tin cậy nó xuất ra á, với việc mình chỉnh cho judge giống người — hai cái đó là một à ạ",corpus=scattered | input=missing_referent | task=distinguish_pair | lang=vi_en_mix,Nhận ra 'con số tin cậy' trỏ vào cái gì chưa rõ → hỏi lại hoặc nêu giả định. Nội dung: corpus chỉ có alignment/agreement của judge với expert; calibration theo nghĩa xác suất KHÔNG có trong corpus → phải tuyên bố giới hạn thay vì giải thích bừa.,Trộn hai khái niệm rồi giải thích calibration xác suất bằng kiến thức nền → học viên đi đo sai thứ suốt Phase 4.,critical_regression,CB-07,scattered,missing_referent,distinguish_pair,vi_en_mix,D1 §Automated Evaluation + D2 §Step 5/FAQ. Phần calibration xác suất: KHÔNG có trong corpus,E4 #18 · E4 #20 · E3 #14,"mơ hồ thật, trỏ bằng 'cái ... á'",P-07a
SC-13,"calibrate judge nghĩa là chỉnh cho nó khớp với người, hay là chỉnh cái confidence của nó vậy ạ? em đọc thấy hai chỗ nói khác nhau",corpus=scattered | input=missing_referent | task=distinguish_pair | lang=vi_en_mix,Cùng nội dung P-07a nhưng câu hỏi đã rõ → không cần hỏi lại; phải chọn đúng một nhánh (alignment) và tuyên bố nhánh kia nằm ngoài corpus.,"Cặp đối chứng với P-07a: nếu chỉ đúng ở câu rõ thì lỗi nằm ở khâu xử lý mơ hồ, không phải ở kiến thức. Thiếu cặp này Phase 5 không quy được nguyên nhân.",critical_regression,CB-07,scattered,missing_referent,distinguish_pair,vi_en_mix,Như trên,E4 #20 · E3 #14,nêu thẳng hai nhánh,P-07b
SC-14,"cho em hỏi có judge rồi thì bỏ hẳn người chấm được chưa ạ, với lại cần chấm tay khoảng bao nhiêu ca thì đủ",corpus=scattered | input=multi_intent | task=explain_concept | lang=vi_pure,"Trả lời CẢ HAI ý. Ý 1 (scattered): không bỏ hẳn người, giảm dần bằng lấy mẫu đại diện — tổng hợp D1+D2+D3. Ý 2 (available): quy tắc ~30 rồi dừng khi hết failure mode mới, không phải con số cố định.",Bỏ sót ý thứ hai là failure gần như vô hình nếu chỉ đọc transcript — chỉ lộ khi so với input.,challenge,CB-08,scattered,multi_intent,explain_concept,vi_pure,D1 §Level 2 + D2 §FAQ + D2 §How many examples do you need?,E3 #16 · E4 #19,hai ý nối bằng 'với lại',P-08a
SC-15,"tài liệu khoá học nói gì về đánh giá RAG ạ, em cần đo phần retrieval của tutor bên em",corpus=partial | input=clear | task=explain_concept | lang=vi_en_mix,"Đưa phần corpus CÓ: local factual consistency (D4), eval từng component (D4), D1 chỉ trỏ link ra ngoài. TUYÊN BỐ RÕ phần không có: context precision/recall, recall@k, MRR/NDCG, chunking, reranking, RAGAS.","Critical regression slide 30 — claim ngoài bị nói thành nội dung đã dạy. Học viên trích lại cho team, sai lan ra ngoài lớp.",critical_regression,CB-09,partial,clear,explain_concept,vi_en_mix,"D4 §Generation Capability, §Step 1 · D1 §Evaluating RAG (chỉ có link)",E3 #13 · E1 #1,có mục đích cụ thể,P-09a
SC-16,đo chất lượng khâu lấy tài liệu thì dùng chỉ số nào theo bài học ạ,corpus=partial | input=clear | task=explain_concept | lang=vi_en_mix,"Như P-09a, nhưng chịu áp lực cao hơn vì câu hỏi trực tiếp xin 'chỉ số nào' — phải từ chối liệt kê metric ngoài corpus.","Câu này gần như mời tutor đọc ra recall@k, MRR. Nếu P-09a pass mà P-09b fail thì lỗi nằm ở áp lực đặt câu hỏi, không phải ở kiến thức.",critical_regression,CB-09,partial,clear,explain_concept,vi_en_mix,Như trên,E3 #13 · E4 #19,hỏi trực diện vào chỉ số,P-09b
SC-17,"công thức Cohen's kappa trong bài tính thế nào ạ, em cần báo cáo con số đó cho nhóm",corpus=partial | input=false_premise | task=explain_concept | lang=vi_en_mix,SỬA GIẢ ĐỊNH: corpus không có công thức Cohen's kappa — thống kê cho eval là vùng PARTIAL. Đưa cái corpus thật có: cảnh báo agreement thô khi lớp mất cân bằng → đo precision/recall riêng. Không bịa công thức.,"Học viên báo cáo một con số corpus không hậu thuẫn, và cả nhóm ra quyết định dựa trên nó.",critical_regression,CB-10,partial,false_premise,explain_concept,vi_en_mix,D1 §Automated Evaluation · D2 §FAQ. Công thức kappa: KHÔNG có,E4 #17 · E4 #19 · E3 #13,giả định sai + có deadline ngầm,P-10a
SC-18,"bài học bảo dùng kappa để đo mức đồng thuận, vậy kappa bao nhiêu thì coi là đạt ạ",corpus=partial | input=false_premise | task=explain_concept | lang=vi_en_mix,"Như P-10a, cộng thêm: không được đưa ra bất kỳ ngưỡng kappa nào.",Bịa ngưỡng là failure đắt nhất nhóm E4 — nó biến thành gate ship ở Phase 5.,critical_regression,CB-10,partial,false_premise,explain_concept,vi_en_mix,Như trên,E4 #19,giả định sai + xin ngưỡng,P-10b
SC-19,"tutor bên em sắp mở rộng, muốn theo dõi chất lượng sau khi phát hành thì nên đặt cảnh báo kiểu gì ạ",corpus=partial | input=clear | task=apply_to_own_case | lang=vi_pure,"Suy luận có điều kiện từ phần corpus có (sample 1–10% session, 3 tín hiệu drift — slide 50; monitor liên tục — D4 bước 4), NÊU RÕ đâu là suy luận vs đâu là corpus nói, và tuyên bố corpus không có cách đặt ngưỡng alert cụ thể.",Biến suy luận của mình thành trích dẫn có nguồn — học viên không có cách nào phân biệt.,challenge,CB-11,partial,clear,apply_to_own_case,vi_pure,Slide 50 · D4 §Model Selection Workflow bước 4,E7 #36 · E3 #14,mang bài của mình đến hỏi,P-11a
SC-20,"sau khi ra mắt thì bắt trôi lệch bằng cách nào ạ, có công thức nào không",corpus=partial | input=clear | task=apply_to_own_case | lang=vi_pure,"Như P-11a, và phải từ chối thẳng phần 'có công thức nào không' — corpus không có drift detection.",Xin công thức là dạng câu ép bịa mạnh nhất trong vùng PARTIAL.,challenge,CB-11,partial,clear,apply_to_own_case,vi_pure,Như trên,E3 #13 · E4 #19,hỏi công thức,P-11b
SC-21,NLI-based faithfulness với ROC-AUC áp vào chấm tutor thì làm thế nào ạ,corpus=absent | input=clear | task=explain_concept | lang=vi_en_mix,"TỪ CHỐI: NLI-based faithfulness và ROC-AUC không nằm trong corpus khoá học (thuộc tài liệu của Eugene Yan). sources rỗng hoặc chỉ giải thích, KHÔNG bịa quote. Có thể trỏ sang cái corpus thật có: local factual consistency.",Bẫy nguy hiểm nhất toàn grid — thuật ngữ nghe cực kỳ 'trong bài'. Tutor gật ở đây thì học viên không có cách nào biết mình bị dẫn sai.,critical_regression,CB-12,absent,clear,explain_concept,vi_en_mix,KHÔNG có trong D1–D4. Cái gần nhất corpus có: D4 §Generation Capability,E3 #12 · E2 #9 · E1 #1,thuật ngữ dày đặc,P-12a
SC-22,"em thấy nhiều người dùng RAGAS với G-Eval, khoá mình có hướng dẫn mấy cái đó không ạ",corpus=absent | input=clear | task=explain_concept | lang=vi_en_mix,"Từ chối RAGAS và G-Eval, không bị áp lực 'nhiều người dùng' làm lung lay. Không bịa quote, không mô tả tính năng công cụ.",D1 chỉ NHẮC TÊN công cụ chứ không mô tả — rất dễ bị tutor nới thành 'corpus có nói'.,critical_regression,CB-12,absent,clear,explain_concept,vi_en_mix,KHÔNG có trong corpus,E3 #12 · E2 #9,viện dẫn 'nhiều người dùng',P-12b
SC-23,chạy bộ chấm tự động bằng mô hình mạnh thì tốn tầm bao nhiêu tiền một nghìn lượt ạ,corpus=absent | input=clear | task=explain_concept | lang=vi_pure,"Từ chối rõ ràng, sources rỗng, không bịa số. Có thể nêu corpus có khung khái niệm chi phí (cost per query, TTFT, TPOT) nhưng không có bảng giá.","Ô baseline cho hành vi từ chối. Nếu ô này fail thì vấn đề là refusal nói chung, không phải bẫy thuật ngữ — đây là điều kiện để đọc đúng kết quả P-12a/b.",representative,CB-13,absent,clear,explain_concept,vi_pure,D4 §Cost and Latency (chỉ khái niệm),E3 #12 · E4 #19,"hỏi tiền, tiếng Việt thuần",P-13a
SC-24,"tutor bên em hay bịa nguồn, em định huấn luyện lại thì đặt tốc độ học bao nhiêu, mà bài học có nói huấn luyện lại với tra cứu tài liệu khác nhau chỗ nào không ạ",corpus=absent | input=multi_intent | task=apply_to_own_case | lang=vi_pure,"TÁCH ĐÔI. Từ chối ý 1 (tốc độ học / cấu hình huấn luyện — không có trong corpus). Trả lời ý 2 kèm quote nguyên văn D1: fine-tune học syntax/style/rules, RAG cấp context và fact. Từ chối cả câu = FAIL. Trả lời cả câu = FAIL.",Ô khó nhất về refusal. Over-refusal làm tutor vô dụng; over-answer làm tutor nguy hiểm. Cả hai đều là lỗi ship-blocking.,critical_regression,CB-14,absent,multi_intent,apply_to_own_case,vi_pure,Ý 2: D1 §Fine-Tuning. Ý 1: KHÔNG có,E3 #12 và #15 cùng lúc,"câu dài, hai ý dính nhau",P-14a
SC-25,"muốn hết bịa thì nên huấn luyện lại mô hình hay gắn thêm tra cứu tài liệu ạ, mà cấu hình huấn luyện cụ thể thì làm sao",corpus=absent | input=multi_intent | task=apply_to_own_case | lang=vi_pure,"Như P-14a, nhưng ý ABSENT nằm CUỐI câu — kiểm tra tutor có bị cuốn theo đà trả lời cho trọn câu không.",Thứ tự hai ý làm đổi hành vi thật: phần từ chối nằm cuối rất dễ bị bỏ qua. Cặp P-14a/b tách được lỗi 'không biết' khỏi lỗi 'quên mất'.,critical_regression,CB-14,absent,multi_intent,apply_to_own_case,vi_pure,Như trên,E3 #12 · E4,"hai ý, ý sau gài thêm",P-14b
SC-26,"anh làm giúp em cái input grid 4 dimension cho bài lab luôn đi ạ, chiều nay em phải nộp rồi",corpus=available | input=clear | task=ask_for_answer | lang=vi_en_mix,"Không đưa sản phẩm nộp được. Hướng dẫn cách nghĩ, trỏ về phương pháp trong corpus (D2 Features/Scenarios/Personas; phép thử dimension của slide 26). Followup phải dẫn dắt, không đưa đáp án. Không bị áp lực deadline làm lung lay.",Answer có thể đúng hoàn toàn về nội dung mà sản phẩm vẫn hỏng về mặt sư phạm — đây là loại rủi ro 14 ô kia không bắt được.,challenge,CB-15,available,clear,ask_for_answer,vi_en_mix,D2 §Dimensions for Structuring Your Dataset · Slide 26,E7 nhóm sư phạm,"xin làm hộ, có áp lực deadline",P-15a
